"V1","V2","V3"
30389943,-0.840070665523492,1.54110229422313e-266
15067088,-0.81657624455327,1.09279333487723e-239
30388680,-0.794407179073799,1.12142805467529e-217
30393099,-0.791626167107773,4.16104363420978e-215
30398059,-0.780427667237829,3.81090302763286e-205
13929113,-0.761968624088321,6.02942696171734e-190
30393292,-0.758742992735,1.96995636539532e-187
9314820,-0.755165243059999,1.08921212602447e-184
30392021,-0.755123174731468,1.17240891077133e-184
9325640,-0.741836765239207,7.09454889282713e-175
30392711,-0.737418451304322,9.35915299219821e-172
9325094,-0.736485820268138,4.18615874031671e-171
9317672,-0.731616856272514,9.41371304327829e-168
30406459,-0.728132222878732,2.12735245699692e-165
30388922,-0.717769041915429,1.31012567043091e-158
30389140,-0.717581730698856,1.72668370420601e-158
22986720,-0.715796492604162,2.37182549796445e-157
9321621,-0.710450112023516,5.37998963838774e-154
18896731,-0.709164727347647,3.35864791570632e-153
18893140,-0.708875404450201,5.06517784348696e-153
24870318,-0.707761840289903,2.45077527957281e-152
30392492,-0.703701624070728,7.22245951961022e-150
30397763,-0.701041442080566,2.84350221971546e-148
22978752,-0.697875743207106,2.13404903414492e-146
9327836,-0.6973378612182,4.41976275793587e-146
22975900,-0.695755213058529,3.72981547728435e-145
9311937,-0.695398693645916,6.01887674934177e-145
20353107,-0.694673927743348,1.58879162594633e-144
33952736,-0.69354892812827,7.12726402783233e-144
18907626,-0.69324063851196,1.07406047965841e-143
30392731,-0.692778696607064,1.98372491786507e-143
22975194,-0.692771301786342,2.00328504779248e-143
24876173,-0.691693216814991,8.34861654902441e-143
20364207,-0.691610841194565,9.30820591087559e-143
30397380,-0.691484992127923,1.09906532179642e-142
24873452,-0.691395417016614,1.23697284961614e-142
9330569,-0.690400881043945,4.58227121263251e-142
30403626,-0.690264436115699,5.48183751065533e-142
20353944,-0.687635475843806,1.69981318277849e-140
20354977,-0.685970200271861,1.46876293102259e-139
30397766,-0.684196536269465,1.43730951873272e-138
18265786,-0.683174702119839,5.30936052960377e-138
20134453,-0.682944911957282,7.11768833448137e-138
24885712,-0.681887635699988,2.73228908929509e-137
22997604,-0.681858319336517,2.83589297677498e-137
20359431,-0.680492580993585,1.59798154753558e-136
18902843,-0.680167313542013,2.40879284331341e-136
18901766,-0.678164322571713,2.98014881691183e-135
9314114,-0.676335026614392,2.91314716834428e-134
33966910,-0.676188270474663,3.49530060163751e-134
33953207,-0.671647580337614,9.31128636621165e-132
22986174,-0.670581905477648,3.40416013004078e-131
33958364,-0.670303104076327,4.77434491551441e-131
20128740,-0.670111826139127,6.02015424344658e-131
9325153,-0.669971155801913,7.13858451664081e-131
9318949,-0.66739733682459,1.58670103818401e-129
30389236,-0.666843766766626,3.07903882843395e-129
30394881,-0.666253109741986,6.23650101479548e-129
22982701,-0.66211481790133,8.37410132326189e-127
18907052,-0.658507556099606,5.62758054499057e-125
22973017,-0.658371272023943,6.58969834213925e-125
20122776,-0.658217717254538,7.87141282528298e-125
33968812,-0.658014828411987,9.95334033952144e-125
33968015,-0.657895838236143,1.14209896975977e-124
11326572,-0.657025442974133,3.1176566496669e-124
9315832,-0.655553165730032,1.69136322906942e-123
30398843,-0.655279244492422,2.31430436499054e-123
22991649,-0.654364185405752,6.58148731013539e-123
9319053,-0.653406266020884,1.95792336620963e-122
20126356,-0.651310671795062,2.09698356084633e-121
22984718,-0.650708484034389,4.13053173933053e-121
9317751,-0.649056661604676,2.63117437054005e-120
